Overall No,Season Ep No,Title,Director,Writer,Air Date,Viewers,Season,Rating,Voters
1,1,Pilot,Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,2005-03-24,11.2,1,7.5,6184.0
2,2,Diversity Day,Ken Kwapis,B. J. Novak,2005-03-29,6.0,1,8.3,6062.0
3,3,Health Care,Ken Whittingham,Paul Lieberstein,2005-04-05,5.8,1,7.8,5078.0
4,4,The Alliance,Bryan Gordon,Michael Schur,2005-04-12,5.4,1,8.0,4941.0
5,5,Basketball,Greg Daniels,Greg Daniels,2005-04-19,5.0,1,8.4,5465.0
6,6,Hot Girl,Amy Heckerling,Mindy Kaling,2005-04-26,4.8,1,7.7,4874.0
7,1,The Dundies,Greg Daniels,Mindy Kaling,2005-09-20,9.0,2,8.7,5492.0
8,2,Sexual Harassment,Ken Kwapis,B. J. Novak,2005-09-27,7.13,2,8.2,4667.0
9,3,Office Olympics,Paul Feig,Michael Schur,2005-10-04,8.3,2,8.4,4635.0
10,4,The Fire,Ken Kwapis,B. J. Novak,2005-10-11,7.6,2,8.3,4582.0
11,5,Halloween,Paul Feig,Greg Daniels,2005-10-18,8.0,2,8.1,4288.0
12,6,The Fight,Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,2005-11-01,7.9,2,8.1,4298.0
13,7,The Client,Greg Daniels,Paul Lieberstein,2005-11-08,7.5,2,8.6,4506.0
14,8,Performance Review,Paul Feig,Larry Wilmore,2005-11-15,8.0,2,8.2,4096.0
15,9,Email Surveillance,Paul Feig,Jennifer Celotta,2005-11-22,8.1,2,8.4,4227.0
16,10,Christmas Party,Charles McDougall,Michael Schur,2005-12-06,9.7,2,8.9,4672.0
17,11,Booze Cruise,Ken Kwapis,Greg Daniels,2006-01-05,8.7,2,8.6,4501.0
18,12,The Injury,Bryan Gordon,Mindy Kaling,2006-01-12,10.3,2,9.1,5429.0
19,13,The Secret,Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,2006-01-19,8.7,2,8.3,4008.0
20,14,The Carpet,"Victor Nelli, Jr.",Paul Lieberstein,2006-01-26,8.6,2,7.8,3953.0
21,15,Boys and Girls,Dennie Gordon,B. J. Novak,2006-02-02,5.42,2,8.1,3921.0
22,16,Valentine's Day,Greg Daniels,Michael Schur,2006-02-09,8.95,2,8.3,3941.0
23,17,Dwight's Speech,Charles McDougall,Paul Lieberstein,2006-03-02,8.4,2,8.5,4170.0
24,18,Take Your Daughter to Work Day,"Victor Nelli, Jr.",Mindy Kaling,2006-03-16,8.8,2,8.3,4059.0
25,19,Michael's Birthday,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,2006-03-30,7.8,2,8.1,3923.0
26,20,Drug Testing,Greg Daniels,Jennifer Celotta,2006-04-27,7.8,2,8.4,4003.0
27,21,Conflict Resolution,Charles McDougall,Greg Daniels,2006-05-04,7.4,2,8.7,4103.0
28,22,Casino Night,Ken Kwapis,Steve Carell,2006-05-11,7.6,2,9.4,5949.0
29,1,Gay Witch Hunt,Ken Kwapis,Greg Daniels,2006-09-21,9.11,3,9.0,5228.0
30,2,The Convention,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,2006-09-28,7.78,3,8.2,3838.0
31,3,The Coup,Greg Daniels,Paul Lieberstein,2006-10-05,8.89,3,8.5,4022.0
32,4,Grief Counseling,Roger Nygard,Jennifer Celotta,2006-10-12,8.83,3,8.0,3855.0
33,5,Initiation,Randall Einhorn,B. J. Novak,2006-10-19,8.46,3,8.1,3749.0
34,6,Diwali,Miguel Arteta,Mindy Kaling,2006-11-02,8.81,3,7.9,3913.0
35,7,Branch Closing,Tucker Gates,Michael Schur,2006-11-09,8.05,3,8.6,3846.0
36,8,The Merger,Ken Whittingham,Brent Forrester,2006-11-16,8.63,3,8.7,4017.0
37,9,The Convict,Jeffrey Blitz,Ricky Gervais & Stephen Merchant,2006-11-30,9.07,3,8.3,4023.0
38,10,A Benihana Christmas,Harold Ramis,Jennifer Celotta,2006-12-14,8.44,3,8.8,4235.0
40,12,Back from Vacation,Julian Farino,Justin Spitzer,2007-01-04,8.8,3,8.6,3814.0
41,13,Traveling Salesmen,Greg Daniels,Michael Schur & Lee Eisenberg & Gene Stupnitsky,2007-01-11,10.12,3,8.6,3865.0
42,14,The Return,Greg Daniels,Lee Eisenberg & Gene Stupnitsky & Michael Schur,2007-01-18,10.2,3,8.8,4052.0
43,15,Ben Franklin,Randall Einhorn,Mindy Kaling,2007-02-01,10.11,3,8.1,3756.0
