Title,Rating,Voters
Pilot,7.5,6184
Diversity Day,8.3,6062
Health Care,7.8,5078
The Alliance,8.0,4941
Basketball,8.4,5465
Hot Girl,7.7,4874
The Dundies,8.7,5492
Sexual Harassment,8.2,4667
Office Olympics,8.4,4635
The Fire,8.3,4582
Halloween,8.1,4288
The Fight,8.1,4298
The Client,8.6,4506
Performance Review,8.2,4096
E-Mail Surveillance,8.4,4227
Christmas Party,8.9,4672
Booze Cruise,8.6,4501
The Injury,9.1,5429
The Secret,8.3,4008
The Carpet,7.8,3953
Boys and Girls,8.1,3921
Valentine's Day,8.3,3941
Dwight's Speech,8.5,4170
Take Your Daughter to Work Day,8.3,4059
Michael's Birthday,8.1,3923
Drug Testing,8.4,4003
Conflict Resolution,8.7,4103
Casino Night,9.4,5949
Gay Witch Hunt,9.0,5228
The Convention,8.2,3838
The Coup,8.5,4022
Grief Counseling,8.0,3855
Initiation,8.1,3749
Diwali,7.9,3913
Branch Closing,8.6,3846
The Merger,8.7,4017
The Convict,8.3,4023
A Benihana Christmas,8.8,4235
Back from Vacation,8.6,3814
Traveling Salesmen,8.6,3865
The Return,8.8,4052
Ben Franklin,8.1,3756
Phyllis' Wedding,8.2,3789
Business School,8.9,4392
Cocktails,8.5,3754
The Negotiation,9.0,4270
Safety Training,8.8,3989
Product Recall,8.7,3936
Women's Appreciation,8.8,3994
Beach Games,9.2,4615
The Job,9.3,4878
Fun Run,8.8,4518
Dunder Mifflin Infinity,8.3,3712
Launch Party,8.4,3606
Money,8.7,3863
Local Ad,8.8,3965
Branch Wars,8.5,3672
Survivor Man,8.2,3539
The Deposition,8.7,3745
Dinner Party,9.5,7233
Chair Model,8.0,3495
Night Out,8.6,3627
Did I Stutter?,8.3,3492
Job Fair,7.8,3333
"Goodbye, Toby",9.4,4981
Weight Loss,8.8,4091
Business Ethics,8.2,3355
Baby Shower,8.0,3327
Crime Aid,8.1,3205
Employee Transfer,8.0,3302
Customer Survey,8.5,3454
Business Trip,8.2,3208
Frame Toby,8.6,3578
The Surplus,8.8,3558
Moroccan Christmas,8.4,3332
The Duel,8.7,3469
Prince Family Paper,8.0,3339
Stress Relief,9.7,10506
Lecture Circuit: Part 1,8.2,3183
Lecture Circuit: Part 2,8.1,3143
Blood Drive,8.0,3154
Golden Ticket,8.7,3426
New Boss,8.3,3205
Two Weeks,8.4,3186
Dream Team,8.3,3175
Michael Scott Paper Company,8.7,3501
Heavy Competition,8.7,3287
Broke,9.3,4407
Casual Friday,8.3,3157
Cafe Disco,8.8,3666
Company Picnic,9.0,3775
Gossip,8.8,3709
The Meeting,8.1,3024
The Promotion,8.0,3017
Niagara: Part 1,9.4,5680
Niagara: Part 2,9.5,4433
Mafia,7.6,3187
The Lover,8.6,3347
Koi Pond,8.2,3032
Double Date,8.1,2988
Murder,8.7,3622
Shareholder Meeting,8.2,3015
Scott's Tots,8.3,3481
Secret Santa,8.5,3199
The Banker,6.8,3901
Sabre,7.6,2912
Manager and Salesman,8.1,2872
The Delivery: Part 1,8.4,3052
The Delivery: Part 2,8.5,3056
St. Patrick's Day,7.7,2836
New Leads,7.7,2798
Happy Hour,8.6,3228
Secretary's Day,7.8,2814
Body Language,7.9,2829
The Cover-Up,8.1,2831
The Chump,7.7,2743
Whistleblower,8.0,2827
Nepotism,8.4,3230
Counseling,8.2,2928
Andy's Play,8.2,3125
Sex Ed,7.8,2862
The Sting,7.7,2793
Costume Contest,8.2,2909
Christening,7.4,2913
Viewing Party,7.8,2857
WUPHF.com,7.7,2775
China,8.2,2935
Classy Christmas,9.0,3718
Ultimatum,8.3,2961
The Seminar,7.6,2812
The Search,8.5,3114
PDA,8.4,3034
Threat Level Midnight,9.4,6459
Todd Packer,7.4,2768
Garage Sale,9.4,4923
Training Day,7.7,2860
Michael's Last Dundies,9.0,4026
"Goodbye, Michael",9.8,10717
The Inner Circle,7.6,2845
"Dwight K. Schrute, (Acting) Manager",8.7,3146
Search Committee,8.7,3323
The List,8.1,3000
The Incentive,8.1,2838
Lotto,7.2,2707
Garden Party,8.1,2963
Spooked,7.5,2657
Doomsday,7.6,2553
Pam's Replacement,7.7,2723
Gettysburg,6.8,2756
Mrs. California,7.6,2684
Christmas Wishes,7.9,2633
Trivia,7.9,2590
Pool Party,8.0,2803
Jury Duty,7.4,2544
Special Project,7.7,2476
Tallahassee,7.8,2608
After Hours,8.1,2700
Test the Store,7.8,2578
Last Day in Florida,7.8,2505
Get the Girl,6.5,2942
Welcome Party,7.0,2588
Angry Andy,6.9,2796
Fundraiser,7.0,2490
Turf War,7.6,2411
Free Family Portrait Studio,7.7,2509
New Guys,7.6,2700
Roy's Wedding,7.1,2575
Andy's Ancestry,7.3,2552
Work Bus,7.8,2723
Here Comes Treble,7.0,2639
The Boat,7.7,2579
The Whale,7.6,2461
The Target,7.8,2566
Dwight Christmas,8.4,2910
Lice,7.6,2560
Suit Warehouse,7.8,2506
Customer Loyalty,7.9,2586
Junior Salesman,7.5,2454
Vandalism,7.4,2458
Couples Discount,7.2,2497
Moving On,8.0,2715
The Farm,7.5,2850
Promos,8.0,2526
Stairmageddon,8.0,2613
Paper Airplane,8.0,2683
Livin' the Dream,9.1,3870
A.A.R.M.,9.5,5221
Finale,9.8,13388
