1,1,"""Pilot""",Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,"March 24, 2005 (2005-03-24)",1001,11.20[16]
2,2,"""Diversity Day""",Ken Kwapis,B. J. Novak,"March 29, 2005 (2005-03-29)",1002,6.00[17]
3,3,"""Health Care""",Ken Whittingham,Paul Lieberstein,"April 5, 2005 (2005-04-05)",1006,5.80[18]
4,4,"""The Alliance""",Bryan Gordon,Michael Schur,"April 12, 2005 (2005-04-12)",1004,5.40[19]
5,5,"""Basketball""",Greg Daniels,Greg Daniels,"April 19, 2005 (2005-04-19)",1005,5.00[20]
6,6,"""Hot Girl""",Amy Heckerling,Mindy Kaling,"April 26, 2005 (2005-04-26)",1003,4.80[16]
7,1,"""The Dundies""",Greg Daniels,Mindy Kaling,"September 20, 2005 (2005-09-20)",2003,9.00[28]
8,2,"""Sexual Harassment""",Ken Kwapis,B. J. Novak,"September 27, 2005 (2005-09-27)",2002,7.13[29]
9,3,"""Office Olympics""",Paul Feig,Michael Schur,"October 4, 2005 (2005-10-04)",2004,8.30[30]
10,4,"""The Fire""",Ken Kwapis,B. J. Novak,"October 11, 2005 (2005-10-11)",2001,7.60[31]
11,5,"""Halloween""",Paul Feig,Greg Daniels,"October 18, 2005 (2005-10-18)",2006,8.00[32]
12,6,"""The Fight""",Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,"November 1, 2005 (2005-11-01)",2007,7.90[33]
13,7,"""The Client""",Greg Daniels,Paul Lieberstein,"November 8, 2005 (2005-11-08)",2005,7.50[34]
14,8,"""Performance Review""",Paul Feig,Larry Wilmore,"November 15, 2005 (2005-11-15)",2009,8.00[35]
15,9,"""Email Surveillance""",Paul Feig,Jennifer Celotta,"November 22, 2005 (2005-11-22)",2008,8.10[36]
16,10,"""Christmas Party""",Charles McDougall,Michael Schur,"December 6, 2005 (2005-12-06)",2010,9.70[28]
17,11,"""Booze Cruise""",Ken Kwapis,Greg Daniels,"January 5, 2006 (2006-01-05)",2013,8.70[37]
18,12,"""The Injury""",Bryan Gordon,Mindy Kaling,"January 12, 2006 (2006-01-12)",2011,10.30[38]
19,13,"""The Secret""",Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,"January 19, 2006 (2006-01-19)",2014,8.70[39]
20,14,"""The Carpet""","Victor Nelli, Jr.",Paul Lieberstein,"January 26, 2006 (2006-01-26)",2012,8.60[40]
21,15,"""Boys and Girls""",Dennie Gordon,B. J. Novak,"February 2, 2006 (2006-02-02)",2015,5.42[28]
22,16,"""Valentine's Day""",Greg Daniels,Michael Schur,"February 9, 2006 (2006-02-09)",2016,8.95[41]
23,17,"""Dwight's Speech""",Charles McDougall,Paul Lieberstein,"March 2, 2006 (2006-03-02)",2017,8.40[42]
24,18,"""Take Your Daughter to Work Day""","Victor Nelli, Jr.",Mindy Kaling,"March 16, 2006 (2006-03-16)",2018,8.80[43]
25,19,"""Michael's Birthday""",Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,"March 30, 2006 (2006-03-30)",2019,7.80[44]
26,20,"""Drug Testing""",Greg Daniels,Jennifer Celotta,"April 27, 2006 (2006-04-27)",2022,7.80[45]
27,21,"""Conflict Resolution""",Charles McDougall,Greg Daniels,"May 4, 2006 (2006-05-04)",2020,7.40[46]
28,22,"""Casino Night""†",Ken Kwapis,Steve Carell,"May 11, 2006 (2006-05-11)",2021,7.60[28]
29,1,"""Gay Witch Hunt""",Ken Kwapis,Greg Daniels,"September 21, 2006 (2006-09-21)",3001,9.11[52]
30,2,"""The Convention""",Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,"September 28, 2006 (2006-09-28)",3006,7.78[53]
31,3,"""The Coup""",Greg Daniels,Paul Lieberstein,"October 5, 2006 (2006-10-05)",3002,8.89[54]
32,4,"""Grief Counseling""",Roger Nygard,Jennifer Celotta,"October 12, 2006 (2006-10-12)",3003,8.83[55]
33,5,"""Initiation""",Randall Einhorn,B. J. Novak,"October 19, 2006 (2006-10-19)",3005,8.46[56]
34,6,"""Diwali""",Miguel Arteta,Mindy Kaling,"November 2, 2006 (2006-11-02)",3004,8.81[57]
35,7,"""Branch Closing""",Tucker Gates,Michael Schur,"November 9, 2006 (2006-11-09)",3007,8.05[58]
36,8,"""The Merger""†",Ken Whittingham,Brent Forrester,"November 16, 2006 (2006-11-16)",3008,8.63[59]
37,9,"""The Convict""",Jeffrey Blitz,Ricky Gervais & Stephen Merchant,"November 30, 2006 (2006-11-30)",3010,9.07[60]
3839,1011,"""A Benihana Christmas""‡",Harold Ramis,Jennifer Celotta,"December 14, 2006 (2006-12-14)",30093014,8.44[61]
40,12,"""Back from Vacation""",Julian Farino,Justin Spitzer,"January 4, 2007 (2007-01-04)",3011,8.80[62]
41,13,"""Traveling Salesmen""",Greg Daniels,Michael Schur & Lee Eisenberg & Gene Stupnitsky,"January 11, 2007 (2007-01-11)",3012,10.12[63]
42,14,"""The Return""†",Greg Daniels,Lee Eisenberg & Gene Stupnitsky & Michael Schur,"January 18, 2007 (2007-01-18)",3013,10.20[64]
43,15,"""Ben Franklin""",Randall Einhorn,Mindy Kaling,"February 1, 2007 (2007-02-01)",3015,10.11[63]
44,16,"""Phyllis' Wedding""",Ken Whittingham,Caroline Williams,"February 8, 2007 (2007-02-08)",3016,8.84[65]
45,17,"""Business School""",Joss Whedon,Brent Forrester,"February 15, 2007 (2007-02-15)",3017,8.84[66]
46,18,"""Cocktails""",J. J. Abrams,Paul Lieberstein,"February 22, 2007 (2007-02-22)",3018,8.30[67]
47,19,"""The Negotiation""†",Jeffrey Blitz,Michael Schur,"April 5, 2007 (2007-04-05)",3019,6.74[63]
48,20,"""Safety Training""",Harold Ramis,B. J. Novak,"April 12, 2007 (2007-04-12)",3020,7.71[68]
49,21,"""Product Recall""",Randall Einhorn,Justin Spitzer & Brent Forrester,"April 26, 2007 (2007-04-26)",3025,7.56[69]
50,22,"""Women's Appreciation""†",Tucker Gates,Gene Stupnitsky & Lee Eisenberg,"May 3, 2007 (2007-05-03)",3021,7.00[70]
51,23,"""Beach Games""†",Harold Ramis,Jennifer Celotta & Greg Daniels,"May 10, 2007 (2007-05-10)",3022,7.20[71]
5253,2425,"""The Job""‡",Ken Kwapis,Paul Lieberstein & Michael Schur,"May 17, 2007 (2007-05-17)",30233024,7.88[63]
5455,12,"""Fun Run""‡",Greg Daniels,Greg Daniels,"September 27, 2007 (2007-09-27)",40014002,9.70[75]
5657,34,"""Dunder Mifflin Infinity""‡",Craig Zisk,Michael Schur,"October 4, 2007 (2007-10-04)",40034004,8.49[76]
5859,56,"""Launch Party""‡",Ken Whittingham,Jennifer Celotta,"October 11, 2007 (2007-10-11)",40054006,8.91[77]
6061,78,"""Money""‡",Paul Lieberstein,Paul Lieberstein,"October 18, 2007 (2007-10-18)",40074008,8.50[78]
62,9,"""Local Ad""",Jason Reitman,B. J. Novak,"October 25, 2007 (2007-10-25)",4009,8.98[79]
63,10,"""Branch Wars""",Joss Whedon,Mindy Kaling,"November 1, 2007 (2007-11-01)",4010,8.39[80]
64,11,"""Survivor Man""",Paul Feig,Steve Carell,"November 8, 2007 (2007-11-08)",4011,8.29[81]
65,12,"""The Deposition""",Julian Farino,Lester Lewis,"November 15, 2007 (2007-11-15)",4012,8.86[82]
66,13,"""Dinner Party""",Paul Feig,Gene Stupnitsky & Lee Eisenberg,"April 10, 2008 (2008-04-10)",4013,9.22[83]
67,14,"""Chair Model""",Jeffrey Blitz,B. J. Novak,"April 17, 2008 (2008-04-17)",4014,9.81[84]
68,15,"""Night Out""",Ken Whittingham,Mindy Kaling,"April 24, 2008 (2008-04-24)",4015,7.56[85]
69,16,"""Did I Stutter?""",Randall Einhorn,Brent Forrester & Justin Spitzer,"May 1, 2008 (2008-05-01)",4016,7.67[86]
70,17,"""Job Fair""",Tucker Gates,Lee Eisenberg & Gene Stupnitsky,"May 8, 2008 (2008-05-08)",4017,7.22[87]
7172,1819,"""Goodbye, Toby""‡",Paul Feig,Jennifer Celotta & Paul Lieberstein,"May 15, 2008 (2008-05-15)",40184019,8.07[88]
7374,12,"""Weight Loss""‡",Paul Feig,Lee Eisenberg & Gene Stupnitsky,"September 25, 2008 (2008-09-25)",50015002,9.20[91]
75,3,"""Business Ethics""",Jeffrey Blitz,Ryan Koh,"October 9, 2008 (2008-10-09)",5003,8.99[92]
76,4,"""Baby Shower""",Greg Daniels,Aaron Shure,"October 16, 2008 (2008-10-16)",5004,8.07[93]
77,5,"""Crime Aid""",Jennifer Celotta,Charlie Grandy,"October 23, 2008 (2008-10-23)",5005,7.74[94]
78,6,"""Employee Transfer""",David Rogers,Anthony Q. Farrell,"October 30, 2008 (2008-10-30)",5006,9.32[95]
79,7,"""Customer Survey""",Stephen Merchant,Lester Lewis,"November 6, 2008 (2008-11-06)",5007,8.35[96]
80,8,"""Business Trip""",Randall Einhorn,Brent Forrester,"November 13, 2008 (2008-11-13)",5009,8.18[97]
81,9,"""Frame Toby""",Jason Reitman,Mindy Kaling,"November 20, 2008 (2008-11-20)",5008,8.40[98]
82,10,"""The Surplus""",Paul Feig,Gene Stupnitsky & Lee Eisenberg,"December 4, 2008 (2008-12-04)",5013,8.33[99]
83,11,"""Moroccan Christmas""",Paul Feig,Justin Spitzer,"December 11, 2008 (2008-12-11)",5010,8.79[100]
84,12,"""The Duel""",Dean Holland,Jennifer Celotta,"January 15, 2009 (2009-01-15)",5011,8.50[101]
85,13,"""Prince Family Paper""",Asaad Kelada,B. J. Novak,"January 22, 2009 (2009-01-22)",5012,8.74[102]
8687,1415,"""Stress Relief""‡",Jeffrey Blitz,Paul Lieberstein,"February 1, 2009 (2009-02-01)",50165017,22.91[103]
88,16,"""Lecture Circuit: Part 1""",Ken Kwapis,Mindy Kaling,"February 5, 2009 (2009-02-05)",5014,8.39[104]
89,17,"""Lecture Circuit: Part 2""",Ken Kwapis,Mindy Kaling,"February 12, 2009 (2009-02-12)",5015,8.89[105]
90,18,"""Blood Drive""",Randall Einhorn,Brent Forrester,"March 5, 2009 (2009-03-05)",5018,8.63[106]
91,19,"""Golden Ticket""",Randall Einhorn,Mindy Kaling,"March 12, 2009 (2009-03-12)",5019,7.51[107]
92,20,"""New Boss""",Paul Feig,Lee Eisenberg & Gene Stupnitsky,"March 19, 2009 (2009-03-19)",5020,7.95[108]
93,21,"""Two Weeks""",Paul Lieberstein,Aaron Shure,"March 26, 2009 (2009-03-26)",5021,8.45[109]
94,22,"""Dream Team""",Paul Feig,B. J. Novak,"April 9, 2009 (2009-04-09)",5022,7.20[110]
95,23,"""Michael Scott Paper Company""",Gene Stupnitsky,Justin Spitzer,"April 9, 2009 (2009-04-09)",5023,7.94[110]
96,24,"""Heavy Competition""",Ken Whittingham,Ryan Koh,"April 16, 2009 (2009-04-16)",5024,8.24[111]
97,25,"""Broke""",Steve Carell,Charlie Grandy,"April 23, 2009 (2009-04-23)",5025,7.21[112]
98,26,"""Casual Friday""",Brent Forrester,Anthony Q. Farrell,"April 30, 2009 (2009-04-30)",5026,7.31[113]
