id,season,episode,scene,line_text,speaker,deleted
1,1,1,1,All right Jim. Your quarterlies look very good. How are things at the library?,Michael,False
2,1,1,1,"Oh, I told you. I couldn't close it. So...",Jim,False
3,1,1,1,"So you've come to the master for guidance? Is this what you're saying, grasshopper?",Michael,False
4,1,1,1,"Actually, you called me in here, but yeah.",Jim,False
5,1,1,1,"All right. Well, let me show you how it's done.",Michael,False
6,1,1,2,"[on the phone] Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. [quick cut scene] All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake. [hangs up] That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so... [Clears throat] So that's the way it's done.",Michael,False
7,1,1,3,"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for...  forever. Right, Pam?",Michael,False
8,1,1,3,Well. I don't know.,Pam,False
9,1,1,3,"If you think she's cute now, you should have seen her a couple of years ago. [growls]",Michael,False
10,1,1,3,What?,Pam,False
11,1,1,3,Any messages?,Michael,False
12,1,1,3,"Uh, yeah. Just a fax.",Pam,False
13,1,1,3,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",Michael,False
14,1,1,3,You haven't told me.,Pam,False
15,1,1,3,It's called the wastepaper basket! Look at that! Look at that face.,Michael,False
16,1,1,4,"People say I am the best boss. They go, 'God we've never worked in a place like this before. You're hilarious.' 'And you get the best out of us.' [shows the camera his WORLD'S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.",Michael,False
17,1,1,5,[singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming],Dwight,False
18,1,1,6,"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",Jim,False
19,1,1,7,Whassup!,Michael,False
20,1,1,7,Whassup! I still love that after seven years.,Jim,False
21,1,1,7,Whassup!,Michael,False
22,1,1,7,Whassup!,Dwight,False
23,1,1,7,Whass...up!,Michael,False
24,1,1,7,Whassup.,Dwight,False
25,1,1,7,"[Strains, grunts] What?",Michael,False
26,1,1,7,Nothing.,Jim,False
27,1,1,7,OK. All right. See you later.,Michael,False
28,1,1,7,All right. Take care.,Jim,False
29,1,1,7,Back to work.,Michael,False
31,1,1,9,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",Michael,False
33,1,1,10,Um... Me no get an agenda.,Michael,False
35,1,1,10,I didn't get any agenda.,Michael,False
37,1,1,10,Really? I didn't... [looks at Pam] Did we get a fax this morning?,Michael,False
38,1,1,10,"Uh, yeah, the one...",Pam,False
39,1,1,10,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",Michael,False
40,1,1,10,You put in the garbage can that was a special filing cabinet.,Pam,False
41,1,1,10,"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",Michael,False
43,1,1,10,"Yeah, yeah. Lovely. Thank you.",Michael,False
45,1,1,10,OK...,Michael,False
47,1,1,10,"No, no, no, no, this is good. This is good. This is fine. Excellent.",Michael,False
49,1,1,10,All the alarm bells are kind of going... ringie-dingie-ding!,Michael,False
51,1,1,10,OK. No problem.,Michael,False
53,1,1,10,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",Michael,False
54,1,1,11,"Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",Michael,False
56,1,1,11,Packman.,Michael,False
58,1,1,11,"Oh, that's not appropriate.",Michael,False
60,1,1,11,"Uh, I don't know what you mean.",Michael,False
62,1,1,11,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",Michael,False
64,1,1,11,"No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.",Michael,False
67,1,1,13,You guys better update your resumes just like I'm doing.,Oscar,False
68,1,1,14,I bet it's gonna be me. Probably gonna be me.,Angela,False
69,1,1,14,"Yeah, it'll be you.",Kevin,False
70,1,1,15,I have an important question for you.,Pam,False
71,1,1,15,Yes?,Jim,False
72,1,1,15,Are you going to Angela's cat party on Sunday?,Pam,False
73,1,1,15,"Yeah, stop. That is ridiculous.",Jim,False
74,1,1,16,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",Michael,False
75,1,1,17,Hey.,Michael,False
77,1,1,17,This is Mr. Scott.,Pam,False
78,1,1,17,Guilty! Guilty as charged!,Michael,False
80,1,1,17,"Howard, like Moe Howard. Three Stooges.",Michael,False
82,1,1,17,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I'm Hitler. Adolf Hitler. [Continues with cod German]",Michael,False
83,1,1,18,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",Pam,False
84,1,1,18,Dunder Mifflin. This is Pam.,Pam,False
85,1,1,19,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",Jim,False
86,1,1,19,What?,Dwight,False
87,1,1,19,What are you doing?,Jim,False
88,1,1,19,Just clearing my desk. I can't concentrate.,Dwight,False
89,1,1,19,It's not on your desk.,Jim,False
90,1,1,19,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",Dwight,False
91,1,1,19,You can't do that.,Dwight,False
92,1,1,19,Why not?,Jim,False
93,1,1,19,Safety violation. I could fall and pierce an organ.,Dwight,False
94,1,1,19,[crosses fingers] We'll see. [Dwight begins smashing pencils with his phone] This is why the whole downsizing thing just doesn't bother me.,Jim,False
95,1,1,19,Downsizing?,Dwight,False
96,1,1,20,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",Dwight,False
97,1,1,21,You just still have these messages from yesterday.,Pam,False
98,1,1,21,"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. [Imitating Six-Million Dollar Man sound effect]",Michael,False
99,1,1,21,What?,Pam,False
100,1,1,21,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",Michael,False
101,1,1,21,Don't we all?,Pam,False
102,1,1,21,I'm sorry?,Michael,False
103,1,1,21,Nothing.,Pam,False
104,1,1,21,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]",Michael,False
105,1,1,22,"I think I'm a role model here. I think I garner people's respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",Michael,False
106,1,1,23,"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",Michael,False
107,1,1,24,Now I know there's some rumors out there and I just kind of want to set the record straight.,Michael,False
108,1,1,24,I'm Assistant Regional Manager. I should know first.,Dwight,False
109,1,1,24,Assistant to the Regional Manager.,Michael,False
110,1,1,24,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",Dwight,False
111,1,1,24,I'm about to tell everybody. I'm just about to tell everybody.,Michael,False
112,1,1,24,Can't you just tell us.,Oscar,False
113,1,1,24,"Please, OK? Do you want me to tell 'em?",Dwight,False
114,1,1,24,You don't know what it is. [Laughs],Michael,False
115,1,1,24,OK. You tell 'em. With my permission. Permission granted.,Dwight,False
116,1,1,24,I don't need your permission.,Michael,False
117,1,1,24,Go ahead.,Dwight,False
118,1,1,24,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,Michael,False
120,1,1,26,"Yeah but Michael, what if they downsize here?",Oscar,False
121,1,1,26,Not gonna happen.,Michael,False
123,1,1,26,"It won't be out of my hands Stanley, OK. I promise you that.",Michael,False
125,1,1,26,On his mother's grave.,Dwight,False
126,1,1,26,No.,Michael,False
128,1,1,26,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",Michael,False
130,1,1,26,"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",Michael,False
131,1,1,26,I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,Pam,False
133,1,1,26,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",Michael,False
134,1,1,26,"Pam, information is power.",Dwight,False
136,1,1,26,"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.",Michael,False
137,1,1,27,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.",Jim,False
138,1,1,28,"Jim said mixed berries? Well, yeah, he's on to me. Um... [Laughs]",Pam,False
139,1,1,29,"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",Michael,False
141,1,1,29,Introduce yourself. Be polite.,Michael,False
142,1,1,29,"Dwight Schrute, Assistant Regional Manager.",Dwight,False
143,1,1,29,"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",Michael,False
144,1,1,29,"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand.",Dwight,False
145,1,1,29,That's his profit.,Michael,False
146,1,1,29,"New engine, new suspension, I got a respray. I've got some photos.",Dwight,False
147,1,1,30,Damn it! Jim!,Dwight,False
148,1,1,30,"OK. Hold on, hold on. The judge is in session. What is the problem here?",Michael,False
149,1,1,30,He put my stuff in Jell-O again.,Dwight,False
150,1,1,30,[Laughing],Pam,False
151,1,1,30,That's real professional thanks. That's the third time and it wasn't funny the first two times either Jim.,Dwight,False
152,1,1,31,"It's OK here, but people sometimes take advantage because it's so relaxed. I'm a volunteer Sheriff's Deputy on the weekends. And you cannot screw around there. That's sort of one of the rules.",Dwight,False
153,1,1,32,What is that?,Michael,False
154,1,1,32,That is my stapler.,Dwight,False
155,1,1,32,"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.",Michael,False
156,1,1,32,"OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?",Dwight,False
157,1,1,32,How do you know it was me?,Jim,False
158,1,1,32,It's always you. Are you going to discipline him or not?,Dwight,False
159,1,1,32,"Discipline. Kinky! [Laughs] All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",Michael,False
160,1,1,32,Yeah.,Dwight,False
161,1,1,32,"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O.",Michael,False
162,1,1,32,"OK. Dwight, I'm sorry, because I have always been your biggest flan.",Jim,False
163,1,1,32,[Laughing] Nice. That's the way it is around here. It just kind of goes round and round.,Michael,False
165,1,1,32,Hey! Yes! New guy! He scores.,Michael,False
166,1,1,32,"OK, that's great. I guess what I'm most concerned with is damage to company property. That's all.",Dwight,False
167,1,1,32,Pudding. Pudding... I'm trying to think of another dessert to do.,Michael,False
168,1,1,33,Do you like going out at the end of the week for a drink?,Jim,False
169,1,1,33,Yeah.,Pam,False
170,1,1,33,That's why we're all going out. So we can have an end-of-the-week-drink.,Jim,False
171,1,1,33,So when are we going out?,Pam,False
172,1,1,33,"Tonight, hopefully.",Jim,False
173,1,1,33,OK. Yeah.,Pam,False
175,1,1,33,What's going on?,Jim,False
177,1,1,33,Hey.,Pam,False
178,1,1,34,Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.,Pam,False
179,1,1,35,Do you mind if I go out for a drink with these guys?,Pam,False
181,1,1,35,OK. I'm gonna be a few minutes. So it's only twenty past five. I still have to do my faxes.,Pam,False
182,1,1,35,You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,Jim,False
184,1,1,35,"Yeah, yeah.",Jim,False
185,1,1,35,Um... What's in the bag?,Jim,False
187,1,1,35,"No, definitely. All right, dude. Awesome. Will do.",Jim,False
188,1,1,36,Do I think I'll be invited to the wedding? [scratches head],Jim,False
189,1,1,37,"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?",Michael,False
191,1,1,37,"You are gonna be my accomplice. Just go along with it, OK?",Michael,False
193,1,1,37,"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...",Michael,False
194,1,1,37,You got a fax.,Pam,False
195,1,1,37,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",Michael,False
196,1,1,37,What? Why?,Pam,False
197,1,1,37,"Why? Well, theft and stealing.",Michael,False
198,1,1,37,Stealing? What am I supposed to have stolen?,Pam,False
199,1,1,37,Post-it Notes.,Michael,False
200,1,1,37,"Post-it Notes? What are those worth, 50 cents?",Pam,False
201,1,1,37,"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you've made a profit... margin. You're gonna run us out of business, Pam.",Michael,False
202,1,1,37,Are you serious?,Pam,False
203,1,1,37,Yeah. I am.,Michael,False
204,1,1,37,I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.,Pam,False
205,1,1,37,But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.,Michael,False
206,1,1,37,"[Pam starts crying] You been X'd punk! [Laughing] Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you.",Michael,False
207,1,1,37,You're a jerk.,Pam,False
208,1,1,37,I don't know about that.,Michael,False
209,1,1,38,"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, 'Mr. Scott, would you be the godfather of my child?' Wow. Wow. Didn't work out in the end. We had to let him go. He sucked.",Michael,False
210,1,1,39,Hey.,Pam,False
211,1,1,39,Hey.,Jim,False
212,1,1,39,How are things?,Jim,False
213,1,1,39,Good. I thought you were going out for a drink with...,Pam,False
214,1,1,39,"Oh no, I just decided not to. How's your headache?",Jim,False
215,1,1,39,"It's better, thanks.",Pam,False
216,1,1,39,Good. Good.,Jim,False
217,1,1,39,Yeah.,Pam,False
218,1,1,39,That's great,Jim,False
219,1,1,39,Is...?,Pam,False
220,1,1,39,Yeah?,Jim,False
221,1,1,39,Um... Are you...,Pam,False
222,1,1,39,Am I walking out?,Jim,False
223,1,1,39,Yes.,Pam,False
224,1,1,39,"Yes, I... Do you want to...",Jim,False
225,1,1,39,Yeah.,Pam,False
226,1,1,39,Great. Let me just...,Jim,False
227,1,1,39,"[Car horn honking] Oh, Roy.",Jim,False
228,1,1,39,"Yeah. Listen, have a nice weekend.",Pam,False
229,1,1,39,"Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.",Jim,False
271,1,2,1,"Hey, uh, can I help you out in here?",Michael,False
273,1,2,1,Gotcha. Good. I'd go with the rows. That's a good idea.,Michael,False
274,1,2,2,"Today is diversity day and someone's going to come in and talk to us about diversity. It's something that I've been pushing, that I've been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it's very important that we have this. I'm very, very excited.",Michael,False
275,1,2,3,"That's the thing. It's very sturdy paper and on the back it says, '100% post-consumer content.' What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you. [Shedder whirring] Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second.",Jim,False
276,1,2,3,Do you really have to do that right now?,Jim,False
277,1,2,3,Yes I do. I should have done it weeks ago actually.,Dwight,False
278,1,2,3,"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks. [Power off, silence] Hello? That's it. Perfect. So what I was saying... [Dialing tone] Hello? Thanks, Dwight.",Jim,False
279,1,2,3,Retaliation. Tit for tit.,Dwight,False
280,1,2,3,That is not the expression.,Jim,False
281,1,2,3,"Well, it should be.",Dwight,False
